*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_0
*Date=17:29:52
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
200;;;205.244;-166.37;0;Bottom;Via2187
201;;;75.2436;-84.3702;0;Bottom;Via832
202;;;57.2439;-102.371;0;Bottom;Via585
203;;;144.244;-42.3702;0;Bottom;Via1985
204;;;246.244;-39.3701;0;Bottom;Via1598
205;;;181.244;-124.37;0;Bottom;Via2050
206;;;243.244;-19.3704;0;Bottom;Via1383
207;;;139.244;-144.37;0;Bottom;Via2367
208;1–5Watt;luxeon;15.7891;-104.355;-90;Bottom;U6
209;;;80.2434;-165.37;0;Bottom;Via765
210;;;287.244;-60.3703;0;Bottom;Via1692
211;;;17.2437;-164.37;0;Bottom;Via21
212;;;248.243;-83.3702;0;Bottom;Via1343
213;;;285.244;-85.3703;0;Bottom;Via1515
214;;;18.2437;-85.3703;0;Bottom;Via141
215;;;225.244;-39.3701;0;Bottom;Via1245
216;;;286.244;-126.37;0;Bottom;Via1248
217;;;247.244;-80.3702;0;Bottom;Via1722
218;;;223.244;-64.3705;0;Bottom;Via1188
219;;;202.244;-43.3704;0;Bottom;Via2547
220;;;142.244;-84.3702;0;Bottom;Via2614
221;;;39.2435;-102.37;0;Bottom;Via487
222;;;19.2437;-105.37;0;Bottom;Via69
223;;;288.244;-44.3702;0;Bottom;Via1877
224;;;142.244;-38.3703;0;Bottom;Via2446
225;;;201.244;-166.37;0;Bottom;Via1906
226;;;207.244;-147.37;0;Bottom;Via2665
227;;;159.244;-148.371;0;Bottom;Via2725
228;;;99.2438;-128.37;0;Bottom;Via1003
229;;;59.2437;-64.3707;0;Bottom;Via641
230;;;97.2437;-40.3702;0;Bottom;Via901
231;;;140.244;-84.3702;0;Bottom;Via2411
232;1–5Watt;luxeon;183.402;-125.317;-90;Bottom;U71
233;;;141.244;-144.37;0;Bottom;Via2107
234;;;38.2436;-145.37;0;Bottom;Via446
235;;;122.244;-39.3702;0;Bottom;Via1935
236;;;121.244;-105.37;0;Bottom;Via2334
237;;;203.244;-128.37;0;Bottom;Via2028
238;;;102.244;-22.3703;0;Bottom;Via992
239;;;287.244;-39.3701;0;Bottom;Via1070
240;;;79.2435;-147.37;0;Bottom;Via748
241;;;80.2434;-125.37;0;Bottom;Via818
242;;;97.2437;-21.3701;0;Bottom;Via965
243;;;138.244;-124.37;0;Bottom;Via2473
244;;;58.2438;-147.371;0;Bottom;Via580
245;;;16.2437;-125.37;0;Bottom;Via59
246;;;183.244;-145.371;0;Bottom;Via2179
247;;;224.244;-42.3701;0;Bottom;Via1380
248;;;245.244;-164.37;0;Bottom;Via1056
249;;;120.244;-106.371;0;Bottom;Via2256
250;;;286.244;-107.37;0;Bottom;Via1266
251;;;15.2437;-164.37;0;Bottom;Via20
252;;;286.244;-147.37;0;Bottom;Via1535
253;;;265.244;-86.3705;0;Bottom;Via1707
254;;;225.244;-18.3702;0;Bottom;Via1173
255;;;123.244;-19.3705;0;Bottom;Via2294
256;;;162.244;-164.371;0;Bottom;Via2712
257;;;289.244;-60.3703;0;Bottom;Via1803
258;;;15.2437;-86.3702;0;Bottom;Via135
259;;;264.244;-123.37;0;Bottom;Via1627
260;;;36.2438;-164.37;0;Bottom;Via387
261;;;284.244;-168.37;0;Bottom;Via1876
262;;;203.244;-82.3704;0;Bottom;Via2597
263;;;179.244;-21.3703;0;Bottom;Via2674
264;;;39.2435;-104.37;0;Bottom;Via507
265;;;204.244;-22.3705;0;Bottom;Via2055
266;;;206.244;-83.3703;0;Bottom;Via2092
267;;;139.244;-43.3704;0;Bottom;Via2531
268;;;118.244;-104.37;0;Bottom;Via2610
269;;;119.244;-44.3703;0;Bottom;Via1902
270;;;39.2435;-41.3701;0;Bottom;Via424
271;;;160.244;-19.3708;0;Bottom;Via1948
272;;;267.244;-145.371;0;Bottom;Via1086
273;;;180.244;-62.3704;0;Bottom;Via2159
274;;;103.244;-126.37;0;Bottom;Via940
275;;;143.243;-18.3703;0;Bottom;Via2390
276;;;181.244;-107.37;0;Bottom;Via2455
277;;;17.2437;-145.37;0;Bottom;Via35
278;;;99.2438;-101.37;0;Bottom;Via988
279;;;225.244;-148.371;0;Bottom;Via1511
280;;;101.244;-101.37;0;Bottom;Via1049
281;;;290.244;-63.3703;0;Bottom;Via1135
282;;;204.244;-64.3706;0;Bottom;Via2246
283;;;81.2436;-19.3705;0;Bottom;Via865
284;;;60.2439;-145.371;0;Bottom;Via550
285;;;118.244;-43.3704;0;Bottom;Via2300
286;;;227.244;-169.37;0;Bottom;Via1402
287;1–5Watt;luxeon;288.134;-41.2471;-90;Bottom;U78
288;;;226.244;-42.3701;0;Bottom;Via1453
289;;;119.244;-19.3705;0;Bottom;Via2376
290;;;77.2437;-145.371;0;Bottom;Via762
291;;;244.244;-41.3702;0;Bottom;Via1859
292;;;244.244;-169.37;0;Bottom;Via1292
293;;;284.244;-42.3701;0;Bottom;Via1364
294;;;120.244;-18.3703;0;Bottom;Via2722
295;1–5Watt;luxeon;78.4608;-167.065;-90;Bottom;U32
296;;;161.244;-144.371;0;Bottom;Via2212
297;;;78.2436;-22.3705;0;Bottom;Via853
298;;;224.244;-19.3704;0;Bottom;Via1750
299;;;289.244;-165.37;0;Bottom;Via1582
300;;;36.2438;-63.3702;0;Bottom;Via403
301;;;16.2437;-22.3705;0;Bottom;Via190
302;1–5Watt;luxeon;120.504;-146.091;-90;Bottom;U39
303;;;182.244;-169.371;0;Bottom;Via1933
304;;;39.2435;-167.37;0;Bottom;Via471
305;;;160.244;-61.3708;0;Bottom;Via2001
306;;;181.244;-101.37;0;Bottom;Via2237
307;;;57.2439;-167.371;0;Bottom;Via705
308;;;289.244;-20.3703;0;Bottom;Via1815
309;;;103.244;-103.37;0;Bottom;Via942
310;;;247.244;-168.37;0;Bottom;Via1688
311;;;204.244;-41.3703;0;Bottom;Via2443
312;;;117.244;-40.3704;0;Bottom;Via2526
